run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,step_interval,reward_mean,reward_mean_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,best_reward_before_timeout,step_of_best_reward,notes
OE_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,76.3,349,41.3,1.0885,1.2,0.1026,24000,0.1841,24000.1,1.4189,12000.2,,,,,,,,,Test Run. Not included in report
OE_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,343.8,0.434,0.807,1000,1.1381,12000,0.0968,24000,0.1977,24000,1.4189,12000,,,,,,,,Test Run. Not included in report
AP_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,641.4,0.74,0.89,,,,,,,,,,,,,,,,,Test Run. Not included in report
LF_081025_Basic,Basic,-1,1,ppo,50000,32,256,0.0003,3,219.6,0.116,0.671,,,,,,,,,,,,,,,,,Test Run. Not included in report
LN_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,578.4,0.43,0.769,1000,1.2044,12000,0.1022,24000,0.1946,24000,1.4189,12000,,,,,,,,Test Run. Not included in report
AK_081025_Basic,Basic,-1,1,ppo,50000,32,256,0.0003,3,1004.4,0.286,0.83,1000,0.1018,2000,0.1402,2000,0.021,2000,1.0982,2000,,,,,,,,Test Run. Not included in report
AP_081025_Basic,Basic,-1,1,ppo,50000,32,256,0.0003,3,2332.2,0.693,0.839,,,,,,,,,,,,,,,,,Test Run. Not included in report
AK_081025_Sorter,Sorter,-1,8,ppo,50000,512,40960,0.0003,3,150,0.579,0.833,1000,-0.8052,10000,0.0379,50000,0.004,50000,3.295,10000,,,,,,,,Test Run. Not included in report
LF_081025_Sorter,Sorter,-1,8,ppo,50000,512,40960,0.0003,3,255,0.241,0.754,,,,,,,,,,,,,,,,,Test Run. Not included in report
OE_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,343.8,0.434,0.807,1000,1.1381,12000,0.0968,24000,0.1977,24000,1.4189,12000,,,,,,,,Test Run. Not included in report
AP_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,641.4,0.74,0.89,,,,,,,,,,,,,,,,,Test Run. Not included in report
LF_081025_Basic,Basic,-1,1,ppo,50000,32,256,0.0003,3,219.6,0.116,0.671,,,,,,,,,,,,,,,,,Test Run. Not included in report
LN_081025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,578.4,0.43,0.769,1000,1.2044,12000,0.1022,24000,0.1946,24000,1.4189,12000,,,,,,,,Test Run. Not included in report
AK_081025_Basic,Basic,-1,1,ppo,50000,32,256,0.0003,3,1004.4,0.286,0.83,1000,0.1018,2000,0.1402,2000,0.021,2000,1.0982,2000,,,,,,,,Test Run. Not included in report
AP_081025_Basic,Basic,-1,1,ppo,50000,32,256,0.0003,3,2332.2,0.693,0.839,,,,,,,,,,,,,,,,,Test Run. Not included in report
AK_081025_Sorter,Sorter,-1,8,ppo,50000,512,40960,0.0003,3,150,0.579,0.833,1000,-0.8052,10000,0.0379,50000,0.004,50000,3.295,10000,,,,,,,,Test Run. Not included in report
LF_081025_Sorter,Sorter,-1,8,ppo,50000,512,40960,0.0003,3,255,0.241,0.754,,,,,,,,,,,,,,,,,Test Run. Not included in report
LN_081025_Crawler,Crawler,-1,10,ppo,1000000,2048,20480,0.0003,3,80,1418,45.4,,0.015,30000,0.0978,30000,,,1.4189,30000,,,,,,,,Test Run. Not included in report
LN_081025_Hallway,Hallway,-1,16,ppo,1000000,128,1024,0.0003,3,79.8,1272,46.7,,0.26,10000,0.0137,10000,,,1.5815,10000,,,,,,,,Test Run. Not included in report
OE_101025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,74.4,356,40.1,,0.1013,12000,0.1916,24000,,,1.4189,12000,,,,,,,,Test Run. Not included in report
ball_test_001,3DBall,-1,(no data),ppo,500000,64,12000,0.0003,3,1,14.7,86.5,,(no data),(no data),(no data),(no data),(no data),(no data),(no data),(no data),,,,,,,,Test Run. Not included in report
OE_101025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,428,32.5,89.7,480000,1.1606,12000,0.1001,24000,0.2143,24000,1.4189,12000,,,,,,,,Test Run. Not included in report
AM_101025_3DBall,3DBall,-1,12,ppo,500000,64,12000,0.0003,3,764,41.4,90.5,480000,1.1006,12000,0.1034,24000,0.1887,24000,1.4189,12000,,,,,,,,Test Run. Not included in report
OE_071125_3DBall,3DBall,-1,12,ppo,50000,64,12000,0.0003,3,43,39.3,80,36000,1.0691,12000,0.0921,24000,0.1564,24000,1.4189,12000,0.96352,12000,0,2025-11-07_15-45,,,,Test Run. Not included in report
