run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
U_OE_3DBall_1,3DBall,1,sac,0.0003,500000,64,200000,,12.0,419,46.9,72.9,-3.459722696468283,12000,0.7173596335131767,442000,0.6270461975427244,72000,-20.03339511703477,12000,-1.4029995862727265,12000,-9.93384400056661,12000,480000,2.5657600000000005,48000.0,31.4,2025-11-21_09-33,1
U_OE_3DBall_2,3DBall,2,sac,0.0003,500000,64,200000,,12.0,467,47.0,73.3,-3.7552447760999668,12000,0.5905457609854083,442000,0.6270461975427244,72000,-18.710290885047655,12000,-1.40265933001662,12000,-9.737370581491412,12000,480000,2.5657600000000005,60000.0,46.7,2025-11-21_09-33,1
U_OE_3DBall_3,3DBall,3,sac,0.0003,500000,64,200000,,12.0,475,46.3,72.7,-3.7160976954214844,12000,0.6503109610192032,442000,0.6270461975427244,72000,-18.025239070638825,12000,-1.4012983049921937,12000,-9.657719195379855,12000,480000,2.5657600000000005,48000.0,35.6,2025-11-21_09-33,1
U_OE_3DBall_4,3DBall,4,sac,0.0003,500000,64,200000,,12.0,479,46.4,72.7,-3.7444985186588142,12000,0.7173596335131767,442000,0.6270461975427244,72000,-18.98374192115264,12000,-1.4047008675532595,12000,-9.981634832233556,12000,480000,2.5657600000000005,60000.0,47.9,2025-11-21_09-33,1
U_OE_3DBall_5,3DBall,5,sac,0.0003,500000,64,200000,,12.0,485,46.9,72.8,-3.729146722314311,12000,0.5019694980525369,442000,0.6270461975427244,72000,-18.565020022116887,12000,-1.4053813800654726,12000,-10.22589908297569,12000,480000,2.5657600000000005,60000.0,48.5,2025-11-21_09-33,1
U_OE_3DBall_6,3DBall,6,sac,0.0003,500000,64,200000,,12.0,466,45.1,73.0,-3.5272706003840963,12000,0.7173596335131767,442000,0.6270461975427244,72000,-20.017728651424594,12000,-1.4081034301143254,12000,-10.055976125937677,12000,480000,2.5657600000000005,48000.0,34.9,2025-11-21_09-33,1
U_OE_3DBall_7,3DBall,7,sac,0.0003,500000,64,200000,,12.0,531,53.3,73.6,-3.6140082497305386,12000,0.5242197241838699,442000,0.6270461975427244,72000,-19.68730864946441,12000,-1.4094644551387516,12000,-11.107374422610352,12000,480000,2.5657600000000005,48000.0,39.8,2025-11-21_09-33,1
U_OE_3DBall_8,3DBall,8,sac,0.0003,500000,64,200000,,12.0,494,49.2,72.7,-3.9816837721813862,12000,0.5323350968398073,442000,0.6270461975427244,72000,-18.702457652242565,12000,-1.4060618925776858,12000,-10.082526587974874,12000,480000,2.5657600000000005,48000.0,37.0,2025-11-21_09-33,1
U_OE_3DBall_9,3DBall,9,sac,0.0003,500000,64,200000,,12.0,507,53.7,73.9,-3.453581977930482,12000,0.64867944332185,442000,0.6270461975427244,84000,-18.960954334810555,12000,-1.4019788175044068,12000,-10.916211095942591,12000,480000,2.5657600000000005,48000.0,38.0,2025-11-21_09-33,1
U_OE_3DBall_10,3DBall,10,sac,0.0003,500000,64,200000,,12.0,523,55.5,73.7,-3.3868016638318936,12000,0.6530996891381193,442000,0.6270461975427244,72000,-18.965939119322883,12000,-1.4057216363215792,12000,-8.877135611486498,12000,480000,2.5657600000000005,48000.0,39.2,2025-11-21_09-33,1
U_AP_Basic_11_A,Basic,11,ppo,0.00015,50000,32,256,3.0,1.0,357,58.8,87.9,-1.7346405792683768,2000,-3.0531394024488168,45000,-3.0545518607008604,44000,0.39678112006380345,2000,-0.37795745762157207,2000,1.2849809732509598,2000,48000,0.6096,,,2025-11-21_09-33,0
U_AP_Basic_12_A,Basic,12,ppo,0.00015,50000,32,256,3.0,1.0,293,53.8,87.5,0.18839062383449226,2000,0.33591251677272455,45000,0.3339763435362148,38000,0.76213403259779,2000,1.5777329937377396,2000,1.1134385765391446,2000,48000,0.6096,14000.0,73.1,2025-11-21_09-33,1
U_AP_Basic_13_A,Basic,13,ppo,0.00015,50000,32,256,3.0,1.0,288,54.8,87.5,-0.11622947928092824,2000,0.3272347767560959,45000,0.32569625367247523,50000,0.07202297558913373,2000,1.0538873371236384,2000,1.372370496104149,2000,48000,0.6096,18000.0,95.9,2025-11-21_09-33,1
U_AP_Basic_14_A,Basic,14,ppo,0.00015,50000,32,256,3.0,1.0,275,53.3,87.7,-0.27694928828661025,2000,0.05783039351257711,45000,0.12263690701409802,48000,0.07202297558913373,2000,1.5951945156248761,2000,1.674026182397379,2000,48000,0.6096,32000.0,172.2,2025-11-21_09-33,1
U_AP_Basic_15_A,Basic,15,ppo,0.00015,50000,32,256,3.0,1.0,288,53.8,86.9,-0.6376344410551755,2000,0.3335458604045529,45000,0.3312163135816352,48000,0.518565424241799,2000,0.7395799431551776,2000,1.1739639127374641,2000,48000,0.6096,14000.0,71.9,2025-11-21_09-33,1
U_AP_Basic_16_A,Basic,16,ppo,0.00015,50000,32,256,3.0,1.0,290,54.3,89.0,-1.0543846434768858,2000,0.3351236313166675,45000,0.33239918356216935,40000,0.2344020478264686,2000,1.3158101654306893,2000,1.2128037006722148,2000,48000,0.6096,14000.0,72.4,2025-11-21_09-33,1
U_AP_Basic_17_A,Basic,17,ppo,0.00015,50000,32,256,3.0,1.0,285,55.4,88.3,-1.102974353176278,2000,0.2613628411753232,45000,0.2744385545159916,46000,-1.3487939064874956,2000,0.9665797276879547,2000,1.6455436712452287,2000,48000,0.6096,26000.0,142.5,2025-11-21_09-33,1
U_AP_Basic_18_A,Basic,18,ppo,0.00015,50000,32,256,3.0,1.0,293,54.9,86.2,0.8817284045450503,2000,0.33709584495681016,45000,0.3351592135167494,50000,0.8839183367757855,2000,1.0888103808979115,2000,1.0399666443625744,2000,48000,0.6096,14000.0,73.2,2025-11-21_09-33,1
U_AP_Basic_19_A,Basic,19,ppo,0.00015,50000,32,256,3.0,1.0,290,55.0,86.4,0.5976654863024495,2000,0.3343347458606104,45000,0.332004893568658,44000,-0.1309508647075292,2000,1.5253484280763299,2000,1.285304638150416,2000,48000,0.6096,16000.0,84.5,2025-11-21_09-33,1
U_AP_Basic_20_A,Basic,20,ppo,0.00015,50000,32,256,3.0,1.0,290,54.4,85.0,-0.14052433413062437,2000,0.3363069595007531,45000,0.33476492352323756,50000,-1.2270096023095,2000,1.5777329937377396,2000,1.1072889434494757,2000,48000,0.6096,14000.0,72.4,2025-11-21_09-33,1
U_AP_Basic_21_A,Basic,21,ppo,0.00015,50000,32,256,3.0,1.0,289,54.9,84.4,1.1153327780998206,2000,0.3343347458606104,45000,0.332004893568658,50000,1.7364084660217767,2000,1.8920403877062004,2000,1.2008280993923333,2000,48000,0.6096,12000.0,60.1,2025-11-21_09-33,1
U_AP_Basic_11_B,Basic,11,ppo,0.0006,50000,32,256,3.0,1.0,380,61.8,86.6,-1.8505083485515428,2000,-3.049983860624588,45000,-3.0517918307462804,16000,-0.6180880814195112,2000,-1.4605718146240483,2000,-1.1836112149019018,2000,48000,0.6096,,,2025-11-21_09-33,0
U_AP_Basic_12_B,Basic,12,ppo,0.0006,50000,32,256,3.0,1.0,305,55.3,81.9,0.8480893747531635,2000,0.342223600421182,45000,0.3391021134518635,20000,2.345329986911765,2000,-0.8319570266871266,2000,-1.0929850430541503,2000,48000,0.6096,4000.0,12.7,2025-11-21_09-33,1
U_AP_Basic_13_B,Basic,13,ppo,0.0006,50000,32,256,3.0,1.0,302,54.9,81.5,0.5845836413833826,2000,0.342223600421182,45000,0.3391021134518635,24000,-2.1606892676741474,2000,-1.0065722455584938,2000,-0.9224136410407036,2000,48000,0.6096,6000.0,25.1,2025-11-21_09-33,1
