run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
U_OE_3DBall_1,3DBall,1,sac,0.0003,500000,64,200000,,12.0,419,46.9,72.9,0.7405,12000,100.0,442000,100.0,72000,-2.7382,12000,0.0111,12000,1.2174,12000,480000,2.5657600000000005,48000.0,31.4,2025-11-21_09-33,1
U_OE_3DBall_2,3DBall,2,sac,0.0003,500000,64,200000,,12.0,467,47.0,73.3,0.702,12000,94.8933,442000,100.0,72000,-2.5524,12000,0.0112,12000,1.2211,12000,480000,2.5657600000000005,60000.0,46.7,2025-11-21_09-33,1
U_OE_3DBall_3,3DBall,3,sac,0.0003,500000,64,200000,,12.0,475,46.3,72.7,0.7071,12000,97.3,442000,100.0,72000,-2.4562,12000,0.0116,12000,1.2226,12000,480000,2.5657600000000005,48000.0,35.6,2025-11-21_09-33,1
U_OE_3DBall_4,3DBall,4,sac,0.0003,500000,64,200000,,12.0,479,46.4,72.7,0.7034,12000,100.0,442000,100.0,72000,-2.5908,12000,0.0106,12000,1.2165,12000,480000,2.5657600000000005,60000.0,47.9,2025-11-21_09-33,1
U_OE_3DBall_5,3DBall,5,sac,0.0003,500000,64,200000,,12.0,485,46.9,72.8,0.7054,12000,91.3264,442000,100.0,72000,-2.532,12000,0.0104,12000,1.2119,12000,480000,2.5657600000000005,60000.0,48.5,2025-11-21_09-33,1
U_OE_3DBall_6,3DBall,6,sac,0.0003,500000,64,200000,,12.0,466,45.1,73.0,0.7317,12000,100.0,442000,100.0,72000,-2.736,12000,0.0096,12000,1.2151,12000,480000,2.5657600000000005,48000.0,34.9,2025-11-21_09-33,1
U_OE_3DBall_7,3DBall,7,sac,0.0003,500000,64,200000,,12.0,531,53.3,73.6,0.7204,12000,92.2224,442000,100.0,72000,-2.6896,12000,0.0092,12000,1.1953,12000,480000,2.5657600000000005,48000.0,39.8,2025-11-21_09-33,1
U_OE_3DBall_8,3DBall,8,sac,0.0003,500000,64,200000,,12.0,494,49.2,72.7,0.6725,12000,92.5492,442000,100.0,72000,-2.5513,12000,0.0102,12000,1.2146,12000,480000,2.5657600000000005,48000.0,37.0,2025-11-21_09-33,1
U_OE_3DBall_9,3DBall,9,sac,0.0003,500000,64,200000,,12.0,507,53.7,73.9,0.7413,12000,97.2343,442000,100.0,84000,-2.5876,12000,0.0114,12000,1.1989,12000,480000,2.5657600000000005,48000.0,38.0,2025-11-21_09-33,1
U_OE_3DBall_10,3DBall,10,sac,0.0003,500000,64,200000,,12.0,523,55.5,73.7,0.75,12000,97.4123,442000,100.0,72000,-2.5883,12000,0.0103,12000,1.2373,12000,480000,2.5657600000000005,48000.0,39.2,2025-11-21_09-33,1
U_AP_Basic_11_A,Basic,11,ppo,0.00015,50000,32,256,3.0,1.0,357,58.8,87.9,-0.0262,2000,0.0692,45000,0.0693,44000,0.1322,2000,0.0073,2000,0.9729,2000,48000,0.6096,,,2025-11-21_09-33,0
U_AP_Basic_12_A,Basic,12,ppo,0.00015,50000,32,256,3.0,1.0,293,53.8,87.5,0.0767,2000,0.9284,45000,0.9287,38000,0.1331,2000,0.0185,2000,0.9199,2000,48000,0.6096,14000.0,73.1,2025-11-21_09-33,1
U_AP_Basic_13_A,Basic,13,ppo,0.00015,50000,32,256,3.0,1.0,288,54.8,87.5,0.0604,2000,0.9262,45000,0.9266,50000,0.1314,2000,0.0155,2000,0.9999,2000,48000,0.6096,18000.0,95.9,2025-11-21_09-33,1
U_AP_Basic_14_A,Basic,14,ppo,0.00015,50000,32,256,3.0,1.0,275,53.3,87.7,0.0518,2000,0.8579,45000,0.8751,48000,0.1314,2000,0.0186,2000,1.0931,2000,48000,0.6096,32000.0,172.2,2025-11-21_09-33,1
